,0
0,21.931291386244062
1,4.084875172997215
2,3.876049483564736
3,3.7678556585145593
4,3.8665116254946885
5,3.8061487877621647
6,3.946534260759501
7,3.716265049240912
8,3.7096682177861946
9,3.8736488708031733
10,3.6380449094559255
11,3.95921462189366
12,3.7636587446122496
13,3.573942537137334
14,3.796302477336475
15,3.789009129295846
16,3.917777533394408
17,3.744893603031892
18,3.553364353972993
19,3.6155747582924245
20,3.7900864195700597
21,3.777490677805249
22,3.8267931265829045
23,3.9430792371037353
24,3.4691225213283237
25,3.78047321907487
26,3.449969252926085
27,3.626279478431286
28,3.704771530678252
29,3.62826681578651
30,3.802207805000241
31,3.8755815373416866
32,3.795405505634636
33,3.551463605854714
34,3.5004489566275803
35,3.6310061073928566
36,3.748330258965797
37,3.6025814036919637
38,3.6657938158797254
39,3.6229868326545063
40,3.673746075883171
41,3.6787342304691917
42,3.8123544672079888
43,3.6709580113080045
44,3.7410952396256207
45,3.663670239216473
46,3.6058303639668607
47,3.7862370548240576
48,3.443771772918669
49,3.6942257332339086
50,3.560935189564893
51,3.622760114743829
52,3.568634839420836
53,3.5912148180902324
54,3.7912421952959843
55,3.621461976469177
56,3.668121269874544
57,3.585548391498248
58,3.431640911497327
59,3.624818299896695
60,3.6739095009608587
61,3.304916307244681
62,3.7311721721291216
63,3.835483122227202
64,3.738682861857639
65,3.676245824747979
66,3.620303982731677
67,3.566290411413371
68,3.7777612696889276
69,3.6340925726306073
70,3.493002303828852
71,3.73660362026386
72,3.633915445696795
73,3.7039559686022963
74,3.588897723792249
75,3.611881168497699
76,3.537074237692521
77,3.6461710987383706
78,3.5796468268964503
79,3.7123611679386377
80,3.7569759034592334
81,3.8204711406659704
82,3.66550433790979
83,3.59013527942939
84,3.675855184899337
85,3.6529604973888503
86,3.585502227408694
87,3.6464103894309674
88,3.6406538397893695
89,3.6464130698434696
90,3.4346728086855185
91,3.6010705362114344
92,3.6462538337624517
93,3.5802603225807075
94,3.48017617044754
95,3.7408270328160746
96,3.7565774056903867
97,3.827216924558563
98,3.671002445058788
99,3.363984054063342
100,3.7373269282027906
101,3.573481873082832
102,3.653400979360636
103,3.5824045635420187
104,3.6018649732009
105,3.7260962177236183
106,3.3809198382140297
107,3.5151493702442904
108,3.4685944339020756
109,3.687808146643657
110,3.628336818759825
111,3.5746163600468517
112,3.45845131896106
113,3.6227908842765526
114,3.428992714993394
115,3.452671070694917
116,3.5423376577913315
117,3.6559804939803477
118,3.49477367157456
119,3.5274018983117106
120,3.591975792911783
121,3.6085700445048428
122,3.6288381337787623
123,3.634152091447002
124,3.7847623620904027
