,0
0,3.9021217823028564
1,3.907353401184082
2,3.9102060794830322
3,3.903381824493408
4,3.9138097763061523
5,3.9169788360595703
6,3.9175257682800293
7,3.9099442958831787
8,3.9083096981048584
9,3.9103896617889404
10,3.9048404693603516
11,3.9123175144195557
12,3.9040567874908447
13,3.9164721965789795
14,3.909044027328491
15,3.907052755355835
16,3.901082992553711
17,3.9060487747192383
18,3.9069042205810547
19,3.8989672660827637
20,3.9441492557525635
21,3.886936902999878
22,3.897429943084717
23,3.8995893001556396
24,3.902259349822998
25,3.9079787731170654
26,3.8847548961639404
27,3.882169008255005
28,3.9092538356781006
29,3.9116463661193848
30,3.8198559284210205
31,3.8633267879486084
32,3.653372287750244
33,3.756552219390869
34,3.6596429347991943
35,3.645660877227783
36,3.8985371589660645
37,3.771620035171509
38,3.8538031578063965
39,3.7626962661743164
40,3.766801595687866
41,3.657089948654175
42,3.6005160808563232
43,3.7727904319763184
44,3.723344087600708
45,3.757262706756592
46,3.653414726257324
47,3.743950605392456
48,3.3982045650482178
49,3.456556558609009
50,3.5295298099517822
51,3.522618055343628
52,3.3073177337646484
53,3.544590473175049
54,3.556588649749756
55,3.528040647506714
56,3.466283082962036
57,3.3598406314849854
58,3.47744083404541
59,3.366166830062866
60,3.383497953414917
61,3.4290332794189453
62,3.6233367919921875
63,3.292501926422119
64,3.274440288543701
65,3.503598690032959
66,3.2859067916870117
67,3.6970481872558594
68,3.3502767086029053
69,3.1778512001037598
70,3.579619884490967
71,3.66579270362854
72,3.525052547454834
73,3.26078724861145
74,3.539999485015869
75,3.478060245513916
76,3.2047204971313477
77,3.589651584625244
78,3.144836187362671
79,3.2984447479248047
80,3.008040428161621
81,3.08441424369812
82,3.3977155685424805
83,3.130053997039795
84,3.1986682415008545
85,3.2136669158935547
86,3.1660900115966797
87,3.1353418827056885
88,3.4465205669403076
89,3.480354070663452
90,3.488311290740967
91,3.372438669204712
92,3.1465258598327637
93,3.7403059005737305
94,3.313825845718384
95,3.380462408065796
96,3.1798126697540283
97,3.120663642883301
98,3.4299139976501465
99,3.0241456031799316
100,2.8592052459716797
